region,n_obs,n_heatwave_days,hw_coef,hw_se,hw_rr,interaction_sum,interaction_se,p50,p99
310063,4418,408,0.29504887035382316,,1.3431919993505832,6.491075147741644,3360929.018561164,23.924991607666016,29.276109809875486
310064,4340,384,-0.016419066241762995,,0.9837149919202886,-0.3612194573187909,289458.16203809023,22.060331344604492,27.391647720336913
310065,5454,481,0.1770463670889414,,1.1936864396093148,3.8950200759529157,,22.083139419555664,27.135524597167972
310066,4999,445,-0.01906948131160612,19481120.853513688,0.9811111909821383,-0.4195285888553022,,22.297348022460938,27.437432670593275
310067,4674,424,-0.03707493127965786,4433819.697932282,0.9636039285683631,-0.8156484881514479,4694158.476341612,23.22609519958496,28.830529403686526
310068,4293,379,-0.02025039405580006,,0.9799532681107396,-0.44550866922732,,22.763903617858887,28.70945055007934
310069,4510,375,-0.1816338369205408,2972735.425748088,0.8339066303391215,-3.9959444122498304,1741287.3997724727,20.79933738708496,25.634789657592773
310070,2545,205,0.14001326318192803,2713089.9695486105,1.1502890552490626,3.0802917900049263,7524698.475564396,23.562978744506836,29.068604469299313
320001,5458,487,-2.1949007861265515,33423056.218695648,0.11136961036723231,-48.287817294423014,27661856.79279051,24.144161224365234,27.456777420043945
320002,5084,425,-0.005051973029205903,,0.9949607667238795,-0.1111434066422139,,21.51697540283203,25.887702102661134
320003,5064,430,0.19672128807207612,,1.2174046882095964,4.327868337591466,,24.902435302734375,27.98245750427246
320004,5157,466,-1.9379134553264474,711069.8856622634,0.14400410752605664,-42.63409601642503,385114.12472059374,24.68320941925049,27.592852458953857
320005,5359,437,-0.2859246956288559,704355.053797264,0.7513191914359081,-6.290343303829185,2056077.8316160033,23.99784278869629,28.225386180877685
320006,4526,365,-0.2697608698025355,1256333.292123807,0.7635620632540749,-5.9347391356596715,,24.3680419921875,28.890768432617186
320007,5425,470,-0.12458679471612985,1357685.1168915206,0.882861630316266,-2.740909483751724,2440898.940003047,23.388654708862305,27.221819686889653
320008,5052,425,0.10275699468668568,,1.1082220725002734,2.260653883106592,,21.559343338012695,26.296498641967773
330001,5458,492,0.05986272496066003,,1.061690792896058,1.3169799490057548,,23.21839141845703,27.38007232666016
330002,4807,414,-2.4143909627081586,,0.08942178354154816,-53.1166011785087,,23.06296730041504,27.32350692749023
330003,4663,381,0.1178544621729726,,1.125080357700964,2.5927981678032515,,21.9870662689209,27.370487384796142
330004,5458,446,-0.03676359011767017,410543.93076115625,0.9639039848426901,-0.808798982588034,,21.887359619140625,27.59404418945313
330005,4979,413,0.11646544901067397,1904925.4987144163,1.12351869111428,2.5622398782342213,3964926.0345652616,20.022415161132812,25.300881881713874
330006,5189,437,0.03791149673528767,300680.3342167889,1.038639305841211,0.8340529281767912,773042.5480285928,21.61031723022461,27.09392822265625
330007,5455,461,-0.19542290497190373,9851902.512683002,0.8224867507591198,-4.299303909383801,6259307.774970403,20.597207069396973,25.776323318481445
330008,5427,446,0.20745197626956785,1881503.3953259187,1.2305386203660964,4.563943477932553,1399172.1056915205,21.716049194335938,26.85833589553833
330009,4973,418,-0.08049257220922997,1343252.842434399,0.9226617568967858,-1.7708365886035473,1933869.8286858704,21.206993103027344,26.26212594985962
330010,5458,496,9.955435016044792,432296.8269271551,21066.40806602942,219.0195703866687,,23.1384220123291,27.180782585144044
330011,5227,425,-0.0975125546558746,1213260.0231150282,0.9070909532695486,-2.145276202429047,2338225.2835338633,23.09679412841797,28.367373046874995
330012,4872,395,-0.05589409861236305,,0.9456392750992991,-1.2296701694706544,,23.717437744140625,29.108357467651366
330013,5452,510,19.753137775851314,322323.66574521275,379034495.4226875,434.56903103788,1199106.475290389,20.771751403808594,25.93285888671875
330014,5386,477,-9.709659295007192,496368.74589088815,6.069438944823187e-05,-213.61250450207862,861556.8585211727,23.48185920715332,27.32722675323486
350001,5458,450,-0.013499662971028333,,0.9865910488274432,-0.29699258536256834,,20.23356819152832,26.152098999023437
350002,5458,492,-7.574725866645845,631754.5897623867,0.0005132611044991248,-166.64396905856415,1851456.0908951294,22.43691635131836,27.613139419555665
350003,5458,461,0.025425901894406147,,1.025751897182024,0.5593698416767066,416914.9064302019,21.159423828125,27.426787490844728
350004,5403,459,0.018058156170329145,584049.1746124901,1.0182221905710898,0.3972794357467033,3877181.060164158,20.047566413879395,26.31520927429199
350005,5289,476,-9.953574310736839,,4.755734505636114e-05,-218.97863484754396,3979155.4582615327,22.104846000671387,27.77128879547119
350006,5211,439,0.005600229306226829,1617664.904414136,1.0056159399043267,0.12320504473677252,,20.692964553833008,27.075984897613523
350007,5241,453,-0.02275840588396467,449940.96455836657,0.9774986131617657,-0.5006849294472173,,21.805055618286133,28.045160465240482
350008,4912,400,-0.015366098773630266,1692592.4726367719,0.9847513573384752,-0.3380541730204554,2754176.8904343015,21.645843505859375,27.78448608398438
350009,5457,455,-0.006676071253527541,,0.9933461642008212,-0.14687356757785863,,23.442193031311035,29.69297924041748
350010,5428,451,-0.03529921830536357,,0.9653165326630492,-0.7765828027180488,,23.139404296875,29.347527236938475
350011,5322,455,0.014335274758852339,,1.0144385175581159,0.3153760446949593,,22.24770164489746,28.4886275100708
350012,5061,427,0.02143679866646239,457347.2843573162,1.0216682175030796,0.4716095706614911,,24.54534912109375,30.58451244354248
350013,5439,464,0.11970446049266205,2625739.7615199615,1.1271636809503016,2.6334981308363266,963957.7659244032,23.683467864990234,29.803720512390136
350014,5347,457,0.04350994129385242,,1.0444703776473585,0.9572187084648529,,23.81804847717285,30.127935371398923
350015,5285,439,0.053149253854749064,,1.0545870345536494,1.1692835848041108,,23.01161766052246,29.31775026321411
350016,4930,412,-0.004814325917792421,,0.9951972443740634,-0.10591517019143204,,24.444900512695312,30.511805534362793
350017,3479,277,0.026155635446960465,,1.026500695936553,0.5754239798331088,,22.059844970703125,28.79437877655029
350018,5456,474,-0.011117226002973574,836510.8040234429,0.9889443419877239,-0.2445789720655059,927886.3826457236,24.518108367919922,30.420094299316403
350019,4926,417,0.0235146528781008,1180827126.763915,1.023793302155179,0.5173223633181698,6839719215.187349,24.8782901763916,31.025222244262693
350020,4915,420,-0.0859777906847776,17830215.088171676,0.9176146105859835,-1.891511395065868,21481020.055906978,25.375314712524414,31.507423782348617
350021,4241,365,0.07991283704304358,933454.682201013,1.0831926492858601,1.7580824149456116,,25.193781852722168,31.33881498336793
350022,5416,452,-0.07942943644097206,,0.9236431932201367,-1.7474476017017442,,25.1329345703125,30.619389648437505
350023,5351,448,-0.09708490250130664,,0.9074789556292127,-2.1358678550271577,,24.83455753326416,30.494497699737547
350024,5186,422,-0.03634127914989243,1198126.2630330198,0.9643111380339519,-0.7995081412970402,,25.456165313720703,30.9008768081665
350025,5458,470,-0.0522113312220647,,0.949128265210759,-1.1486492868862643,,24.77370834350586,30.52386116027834
350026,5367,456,-0.13668059258421933,867615.8880802841,0.8722487843730917,-3.0069730368555474,,24.27683925628662,30.131785068511963
350027,5088,446,-0.1623622536144247,1611557.33073846,0.8501331849340088,-3.5719695795163826,1872935.451758582,25.059934616088867,30.981755142211913
350028,4832,415,-0.06884874568253624,,0.9334678604449688,-1.5146724050172327,,25.50675392150879,31.390930862426753
350029,4695,399,-0.0007177835639532032,2015168.290779958,0.999282473981045,-0.015791238406963642,1741782.4361848955,25.111413955688477,30.948791503906264
350030,3392,267,0.025054278808608693,971233.877071504,1.0253707749180327,0.551194133789259,,25.663387298583984,31.260378723144534
350031,5458,474,0.021422798805251247,514554.6199285377,1.021653914389952,0.47130157371501435,1543185.4743872338,23.517282485961914,28.998808326721193
350032,5454,471,0.06741394135731082,3013187.4227127805,1.0697381954193692,1.4831067098579505,1416075.7595613843,24.65435791015625,30.23024662017823
350033,5416,464,-0.13484923725242148,2440120.762384248,0.8738476454295044,-2.9666832195597848,591747.6794420828,22.629297256469727,27.984274520874035
350034,4749,409,-0.11144300329660058,,0.8945423759167578,-2.451746072521626,,23.972310066223145,29.64597940444949
350035,4537,386,-0.05729795113448627,,0.9443126684158746,-1.2605549249589103,2299862.931454347,24.056803703308105,29.838847541809088
