intermediate_code,intermediate_name,pop_total,pop_elderly,gdp_total,pop_urban,n_municipalities,pct_elderly,gdp_per_capita,urbanization_rate
3107,Barbacena,757347,145694.0,32358616,590731.0,49,19.23741693041631,42726.27474592228,78.00004489355605
3108,Varginha,1605043,307841.0,54789204,1302066.0,82,19.179610764322202,34135.661162971955,81.12343407622102
3109,Pouso Alegre,1307895,252706.0,60748614,942655.0,80,19.321581625436295,46447.62308900944,72.07421085025939
3110,Uberaba,805082,132599.0,49818642,652638.0,29,16.470247751160752,61880.20847565838,81.06478594726997
3111,Uberlândia,1184920,197357.0,64465879,983091.0,24,16.65572359315397,54405.25858285792,82.96686696148264
3112,Patos de Minas,833373,132862.0,38467439,621517.0,34,15.94268112837829,46158.72964446892,74.57849006387296
3113,Divinópolis,1309781,232639.0,54117818,1041304.0,61,17.761671607696247,41318.21884727294,79.50214577856909
3201,Vitória,2178683,353825.0,119352057,1790105.0,21,16.24031582382568,54781.74521029447,82.1645461960276
3202,São Mateus,603178,86995.0,22145427,433756.0,15,14.422774040167246,36714.58010736466,71.91177397053606
3203,Colatina,436463,79502.0,12237501,284940.0,18,18.215060612239757,28037.888664102113,65.28388431550898
3204,Cachoeiro do Itapemirim,615388,111076.0,32601518,422671.0,24,18.049750726371006,52977.17537553544,68.68365973987143
3301,Rio de Janeiro,12107798,2280481.0,723612193,12175376.0,26,18.834812077307532,59764.14480981595,100.0
3302,Volta Redonda - Barra Mansa,985051,196736.0,62191793,908214.0,17,19.972163877809372,63135.60719191189,92.1996932138539
3303,Petrópolis,960088,194910.0,42814264,833962.0,19,20.301264050795346,44594.10387381157,86.86307921773837
3304,Campos dos Goytacazes,941128,175735.0,58831662,766281.0,18,18.672805399478072,62511.860235802145,81.42154945979718
3305,Macaé - Rio das Ostras - Cabo Frio,1061109,177767.0,61850852,780406.0,12,16.752944325229546,58288.87701451971,73.54626150565117
3501,São Paulo,22564260,3742255.0,1469758150,21136475.0,50,16.584878032782814,65136.55444494967,93.67236062693836
3502,Sorocaba,3074450,512337.0,151623894,2318124.0,78,16.664346468474037,49317.40441379759,75.39963245458537
3503,Bauru,1384044,254512.0,64170126,1224837.0,48,18.38901075399337,46364.22396975819,88.49696974951662
3504,Marília,1023235,201342.0,42983874,907671.0,54,19.677004793620235,42007.82225002077,88.70601572463804
3505,Presidente Prudente,877245,175905.0,31755074,755845.0,55,20.05198091753159,36198.6377807796,86.16122063961608
3506,Araçatuba,777507,153247.0,29755528,680659.0,44,19.710047626580852,38270.431005765866,87.5437777409078
3507,São José do Rio Preto,1633645,323400.0,66076218,1342444.0,100,19.79622255753239,40447.109378108464,82.1747686920965
3508,Ribeirão Preto,2546824,445221.0,121386840,2266149.0,64,17.48141999604213,47662.04496266723,88.97941121962099
3509,Araraquara,1100714,203839.0,53829705,973352.0,26,18.51879779851987,48904.35208419262,88.42914689919452
3510,Campinas,6923591,1207648.0,531080912,5848399.0,87,17.442509241230454,76705.99144287985,84.47060203296238
3511,São José dos Campos,2505723,430862.0,157330913,2131296.0,39,17.19511693830483,62788.62946941861,85.057127224358
4101,Curitiba,4024224,624156.0,216724799,3305466.0,45,15.509971611918225,53855.053545727074,82.13921491447792
4102,Guarapuava,419643,64783.0,17454744,269479.0,19,15.437645808461001,41594.26941471679,64.2162504795743
4103,Cascavel,2171135,346958.0,108284664,1513114.0,100,15.980489467490505,49874.68029394763,69.69230379501965
4104,Maringá,1923651,347806.0,79617037,1521361.0,115,18.08051460478018,41388.503943802694,79.08716290013106
4105,Londrina,1941821,365946.0,77390594,1603596.0,94,18.845506357177104,39854.648806455385,82.58207115897912
4106,Ponta Grossa,963906,143471.0,50501222,699676.0,26,14.884335194510667,52392.268540708326,72.58757596695114
4201,Florianópolis,1292069,201318.0,55474027,903877.0,17,15.581056429648882,42934.26047680116,69.95578409512186
4202,Criciúma,997971,171609.0,42164188,697663.0,44,17.195790258434364,42249.91307362639,69.9081436234119
4203,Lages,364995,60609.0,15615385,292463.0,24,16.60543295113632,42782.46277346265,80.1279469581775
4204,Chapecó,1194259,204108.0,62724114,726423.0,109,17.090765068548784,52521.365968353595,60.82625293173424
