age,qx,dx,lx,Lx,Tx,ex,year
9,0.198628334984844,19.5512929328834,98431.5401645707,98421.7645181043,6751496.36136417,68.590782487769,2023
10,0.200621377404649,19.743548760569,98411.9888716379,98402.1170972576,6653074.59684606,67.6043099334563,2023
11,0.216864782843642,21.3378129154444,98392.2453228773,98381.5764164196,6554672.47974881,66.6177751939641,2023
12,0.251134135331675,24.7042927993025,98370.9075099618,98358.5553635622,6456290.90333239,65.6321169211392,2023
13,0.310111157530836,30.4982549184351,98346.2032171625,98330.9540897033,6357932.34796882,64.6484779278118,2023
14,0.401481650091775,39.4719514581811,98315.7049622441,98295.968986515,6259601.39387912,63.66837725756,2023
15,0.533132435508333,52.3942474576179,98276.2330107859,98250.0358870571,6161305.42489261,62.6937483879383,2023
16,0.704503209656067,69.1990096735244,98223.8387633283,98189.2392584916,6063055.38900555,61.7269235792603,2023
17,0.900778035183547,88.4155435414432,98154.6397536548,98110.4319818841,5964866.14974706,60.770088553302,2023
18,1.0954849974219,107.430077375975,98066.2242101133,98012.5091714254,5866755.71776517,59.8244274725543,2023
19,1.25530176291525,122.967846967877,97958.7941327374,97897.3102092534,5768743.20859375,58.8894877654058,2023
20,1.36718480915874,133.759655489397,97835.8262857695,97768.9464580248,5670845.89838449,57.9628763171118,2023
21,1.43409513449664,140.114058384759,97702.0666302801,97632.0096010877,5573076.95192647,57.0415462450335,2023
22,1.47227326198416,143.637854158573,97561.9525718953,97490.1336448161,5475444.94232538,56.1227486533792,2023
23,1.50089607525124,146.214766217439,97418.3147177368,97345.207334628,5377954.80868057,55.2047612839828,2023
24,1.5287608770119,148.705780830671,97272.0999515193,97197.747061104,5280609.60134594,54.2869908635447,2023
25,1.56040326284216,151.551661162244,97123.3941706887,97047.6183401075,5183411.85428483,53.3693442094424,2023
26,1.59264542295762,154.441761128575,96971.8425095264,96894.6216289621,5086364.23594473,52.4519706371986,2023
27,1.62067073330518,156.909127867606,96817.4007483978,96738.946184464,4989469.61431576,51.5348436928403,2023
28,1.6423896477291,158.754190781969,96660.4916205302,96581.1145251392,4892730.6681313,50.6176886347649,2023
29,1.65741122504316,159.943062852239,96501.7374297483,96421.7658983221,4796149.55360616,49.7001368197923,2023
30,1.66966266289046,160.858296930266,96341.794366896,96261.3652184309,4699727.78770784,48.7818170565724,2023
31,1.68441174295363,162.008298164525,96180.9360699658,96099.9319208835,4603466.42248941,47.8625662276843,2023
32,1.70680984551645,163.886051276844,96018.9277718012,95936.9847461628,4507366.49056852,46.942478896252,2023
